"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Actinostromatida"
"Access Time","Fri 2026-01-02 02:55:04 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Actinostromatida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.108"
"Records Found","500"
"Records Returned","500"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"229645","occ","","","23354","Densastroma astrites","genus","3370","species not entered","Densastroma","genus","3370","Gorstian","","426.7","425","6695"
"230002","occ","","","23374","Pseudolabechia nikiforovae","genus","3422","species not entered","Pseudolabechia","genus","3422","Ludlow","","426.7","422.7","6695"
"230005","occ","","","23374","Densastroma ex gr. astroites","genus","3370","species not entered","Densastroma","genus","3370","Ludlow","","426.7","422.7","6695"
"230042","occ","","","23375","Densastroma astrites","genus","3370","species not entered","Densastroma","genus","3370","Gorstian","","426.7","425","6695"
"230063","occ","","","23376","Desmostroma yakovlevi","genus","3372","species not entered","Desmostroma","genus","3372","Ludlow","","426.7","422.7","6695"
"231178","occ","","","23458","Pseudolabechia gorskii","genus","3422","species not entered","Pseudolabechia","genus","3422","Wenlock","","432.9","426.7","6695"
"231346","occ","","","23468","Desmostroma multum","genus","3372","species not entered","Desmostroma","genus","3372","Ludlow","","426.7","422.7","6695"
"231347","occ","","","23468","Densastroma podolicum","genus","3370","species not entered","Densastroma","genus","3370","Ludlow","","426.7","422.7","6695"
"231505","occ","","","23483","Densastroma stellatum","genus","3370","species not entered","Densastroma","genus","3370","Pridoli","","422.7","419.62","6695"
"231511","occ","","","23484","Vikingia podolica","genus","3456","species not entered","Vikingia","genus","3456","Pridoli","","422.7","419.62","6695"
"231526","occ","","","23485","Plectostroma podolicum","genus","3416","species not entered","Plectostroma","genus","3416","Pridoli","","422.7","419.62","6695"
"231706","occ","","","23495","Vikingia sp. n. sp.","genus","3456","","Vikingia","genus","3456","Sheinwoodian","","432.9","430.6","6713"
"231775","occ","","","23498","Vikingia sp.","genus","3456","","Vikingia","genus","3456","Sheinwoodian","","432.9","430.6","6713"
"231828","occ","","","23500","Araneosustroma ex gr. stilliparratum","genus","108074","species not entered","Araneosustroma","genus","108074","Homerian","Gorstian","430.6","425","6713"
"231831","occ","","","23500","Vikingia sp.","genus","3456","","Vikingia","genus","3456","Homerian","Gorstian","430.6","425","6713"
"235229","occ","","","23638","Pseudolabechia sp.","genus","3422","","Pseudolabechia","genus","3422","Ludlow","","426.7","422.7","6713"
"235230","occ","","","23638","Plectostroma sp.","genus","3416","","Plectostroma","genus","3416","Ludlow","","426.7","422.7","6713"
"237406","occ","","","23697","Pseudolabechia pavdensis","genus","3422","species not entered","Pseudolabechia","genus","3422","Wenlock","","432.9","426.7","6753"
"237802","occ","","","23709","Trigonostroma abruptum","genus","3453","species not entered","Actinostroma","genus","3341","Ludlow","","426.7","422.7","6753"
"237833","occ","","","23714","Densastroma himmestum","genus","3370","species not entered","Densastroma","genus","3370","Ludlow","","426.7","422.7","6753"
"237868","occ","","","23719","Densastroma podolicum","genus","3370","species not entered","Densastroma","genus","3370","Pridoli","","422.7","419.62","6753"
"240756","occ","","","8545","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Soudleyan","Onnian","458.2","449.5","526"
"254775","occ","","","24737","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Lochkovian","Pragian","419.62","410.62","6753"
"255165","occ","","","24773","Plectostroma necopinatum","species","333476","","Plectostroma necopinatum","species","333476","Llandovery","","443.1","432.9","6753"
"256731","occ","","","24907","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Lochkovian","","419.62","413.02","6984"
"261370","occ","","","25252","Densastroma sp.","genus","3370","","Densastroma","genus","3370","Telychian","","438.6","432.9","7071"
"261660","occ","","","25263","Actinostroma papillosum","genus","3341","species not entered","Actinostroma","genus","3341","Frasnian","","382.31","372.15","7082"
"261661","occ","","","25263","Actinostroma windjanicum","genus","3341","species not entered","Actinostroma","genus","3341","Frasnian","","382.31","372.15","7082"
"262384","occ","","","25369","Actinostroma densatum","genus","3341","species not entered","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","7100"
"262385","occ","","","25369","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","7100"
"262433","occ","","","25364","Actinostroma stellulatum","species","468315","","Actinostroma stellulatum","species","468315","Eifelian","","393.47","387.95","7100"
"262486","occ","","","25365","Actinostroma stellulatum","species","468315","","Actinostroma stellulatum","species","468315","Eifelian","","393.47","387.95","7100"
"266729","occ","","","25642","Plumatalinia balticivaga","genus","108070","misspelling of, species not entered","Plumatalinia","genus","108070","Gorstian","","426.7","425","7152"
"266730","occ","","","25642","Plumatalinia densa","genus","108070","misspelling of, species not entered","Plumatalinia","genus","108070","Gorstian","","426.7","425","7152"
"266735","occ","","","25642","Pycnodictyon densum","genus","119627","species not entered","Pycnodictyon","genus","119627","Gorstian","","426.7","425","7152"
"273827","occ","","","26201","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Helderbergian","Emsian","419.62","393.47","6304"
"273851","occ","","","26203","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Helderbergian","Emsian","419.62","393.47","6304"
"274282","occ","","","26245","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","Early Emsian","413.02","399.5","7264"
"279121","occ","","","26662","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Telychian","Wenlock","438.6","426.7","7270"
"279125","occ","","","26674","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Telychian","Wenlock","438.6","426.7","7270"
"292963","occ","","","27903","Pycnodictyon densum","genus","119627","species not entered","Pycnodictyon","genus","119627","Ludlow","Pridoli","426.7","419.62","7624"
"363166","occ","","","34406","Pseudolabechia granulata","genus","3422","species not entered","Pseudolabechia","genus","3422","Ludfordian","","425","422.7","9056"
"363169","occ","","","34406","Plectostroma scaniense","genus","3416","species not entered","Plectostroma","genus","3416","Ludfordian","","425","422.7","9056"
"363171","occ","","","34406","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Ludfordian","","425","422.7","9056"
"363174","occ","","","34407","Plectostroma scaniense","genus","3416","species not entered","Plectostroma","genus","3416","Ludfordian","","425","422.7","9056"
"363179","occ","","","34407","Densastroma pexisum","species","380599","","Densastroma pexisum","species","380598","Ludfordian","","425","422.7","9056"
"369742","occ","","","34988","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Givetian","","387.95","382.31","9409"
"403175","occ","","","38681","Actinostroma stellulatum","species","468315","","Actinostroma stellulatum","species","468315","Givetian","","387.95","382.31","10391"
"403181","occ","","","38681","Actinostroma cf. perlaminatum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","10391"
"403188","occ","","","38681","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","10391"
"403190","occ","","","38681","Actinostroma papillosum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","10391"
"403195","occ","","","38681","Actinostroma cf. devonense","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","10391"
"403199","occ","","","38681","Actinostroma septatum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","10391"
"403205","occ","","","38681","Actinostroma tabulatum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","10391"
"403206","occ","","","38681","Bifariostroma bifarium","genus","3355","species not entered","Bifariostroma","genus","3355","Givetian","","387.95","382.31","10391"
"403209","occ","","","38681","? Actinostroma cf. sertiforme","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","10391"
"403226","occ","","","38689","? Actinostroma cf. sertiforme","genus","3341","species not entered","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10391"
"403230","occ","","","38689","Actinostroma cf. filitextum","genus","3341","species not entered","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10391"
"407180","occ","","","39167","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10565"
"407191","occ","","","39168","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","Famennian","382.31","358.86","10565"
"407892","occ","","","39237","Actinostroma papillosum","genus","3341","species not entered","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10601"
"407893","occ","","","39237","Actinostroma windjanicum","genus","3341","species not entered","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10601"
"410384","occ","","","39629","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10576"
"410395","occ","","","39632","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10565"
"410411","occ","","","39634","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10576"
"410448","occ","","","39640","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10565"
"410651","occ","","","39661","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","","382.31","372.15","10565"
"463638","occ","","","45793","Actinostroma aff. clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Late Emsian","","399.5","393.47","12132"
"463639","occ","","","45793","Actinostroma aff. mamontovi","genus","3341","species not entered","Actinostroma","genus","3341","Late Emsian","","399.5","393.47","12132"
"572941","occ","","","60166","? Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","17286"
"572978","occ","","","60179","Actinostroma stellulatum","species","468315","","Actinostroma stellulatum","species","468315","Late Givetian","Frasnian","383.4","372.15","17286"
"573503","occ","","","60286","Trigonostroma abeuptum","genus","3453","species not entered","Actinostroma","genus","3341","Gorstian","","426.7","425","17337"
"574852","occ","","","60420","Actinostroma perspicuum","genus","3341","species not entered","Actinostroma","genus","3341","Late Emsian","","399.5","393.47","17382"
"574856","occ","","","60423","Actinostroma vastum","genus","3341","species not entered","Actinostroma","genus","3341","Eifelian","","393.47","387.95","17382"
"574925","occ","","","60429","Plectostroma latens","genus","3416","species not entered","Plectostroma","genus","3416","Pragian","","413.02","410.62","17382"
"574939","occ","","","60433","Plectostroma latens","genus","3416","species not entered","Plectostroma","genus","3416","Pragian","","413.02","410.62","17382"
"574956","occ","","","60435","Actinostroma vastum","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","","413.02","410.62","17382"
"574957","occ","","","60435","Plectostroma latens","genus","3416","species not entered","Plectostroma","genus","3416","Pragian","","413.02","410.62","17382"
"575231","occ","","","60446","? Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Eifelian","","393.47","387.95","17384"
"589071","occ","","","62145","Actinostroma filitextum","genus","3341","species not entered","Actinostroma","genus","3341","Frasnian","","382.31","372.15","17951"
"589073","occ","","","62145","? Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","","382.31","372.15","17951"
"589083","occ","","","62146","? Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Frasnian","","382.31","372.15","17951"
"589210","occ","","","62169","Plectostroma yunnanense","genus","3416","species not entered","Plectostroma","genus","3416","Eifelian","","393.47","387.95","17955"
"589214","occ","","","62171","Actinostroma ex gr. clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Eifelian","","393.47","387.95","17955"
"589215","occ","","","62171","Plectostroma yunnanense","genus","3416","species not entered","Plectostroma","genus","3416","Eifelian","","393.47","387.95","17955"
"589232","occ","","","60423","Plectostroma yunnanense","genus","3416","species not entered","Plectostroma","genus","3416","Eifelian","","393.47","387.95","17955"
"589234","occ","","","62173","Actinostroma filitextum","genus","3341","species not entered","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","17955"
"589235","occ","","","62173","Actinostroma reversum","genus","3341","species not entered","Actinostroma","genus","3341","Early Givetian","","387.95","385.9","17955"
"589236","occ","","","62173","Plectostroma crassum","genus","3416","species not entered","Plectostroma","genus","3416","Early Givetian","","387.95","385.9","17955"
"596531","occ","","","63212","Plectostroma scaniense n. sp.","genus","3416","species not entered","Plectostroma","genus","3416","Ludlow","","426.7","422.7","18193"
"621683","occ","","","66955","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Eifelian","","393.47","387.95","19072"
"663555","occ","","","71457","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663562","occ","","","71458","Actinostroma cf. perlaminatum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663577","occ","","","71461","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663581","occ","","","71461","Actinostroma cf. perlaminatum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663586","occ","","","71461","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663590","occ","","","71462","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663592","occ","","","71462","Actinostroma papillosum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663597","occ","","","71462","Actinostroma cf. devonense","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663602","occ","","","71463","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663605","occ","","","71463","? Actinostroma cf. devonense","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663609","occ","","","71464","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663611","occ","","","71464","? Actinostroma cf. devonense","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663624","occ","","","71468","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663636","occ","","","71469","Actinostroma tabulatum","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"663637","occ","","","71469","Actinostroma bifarium","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","24147"
"693622","occ","","","74632","Actinostroma piriforme","genus","3341","species not entered","Actinostroma","genus","3341","Givetian","","387.95","382.31","25106"
"693623","occ","","","74632","Bifariostroma bifarium","genus","3355","species not entered","Bifariostroma","genus","3355","Givetian","","387.95","382.31","25106"
"699460","occ","","","75095","Bifariostroma sp.","genus","3355","","Bifariostroma","genus","3355","Emsian","","410.62","393.47","25300"
"705399","occ","","","75683","Actinostroma ? clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","","413.02","410.62","16373"
"716913","occ","","","76963","Actinostroma compactum","genus","3341","species not entered","Actinostroma","genus","3341","Emsian","","410.62","393.47","26031"
"716960","occ","","","76980","Plectostroma salairicum","species","208199","","Plectostroma salairicum","species","208199","Emsian","","410.62","393.47","26031"
"716978","occ","","","28047","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Late Givetian","Early Frasnian","383.4","379","26037"
"716982","occ","","","28047","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Late Givetian","Early Frasnian","383.4","379","26037"
"717583","occ","","","77049","Actinostroma clathratum","genus","3341","species not entered","Actinostroma","genus","3341","Eifelian","Givetian","393.47","382.31","26037"
"717584","occ","","","77049","Actinostroma verrucosum","genus","3341","species not entered","Actinostroma","genus","3341","Eifelian","Givetian","393.47","382.31","26037"
"717908","occ","","","77073","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Givetian","","387.95","382.31","26037"
"721078","occ","","","77388","Plectostroma necopinatum","species","333476","","Plectostroma necopinatum","species","333476","Juuru","","443.1","440.8","26191"
"721096","occ","","","77389","Plectostroma necopinatum","species","333476","","Plectostroma necopinatum","species","333476","Juuru","","443.1","440.8","26191"
"721279","occ","","","77410","Densastroma pexisum","species","380599","","Densastroma pexisum","species","380598","Sheinwoodian","","432.9","430.6","26203"
"722735","occ","","","77536","Plumatalinia sp.","genus","108070","","Plumatalinia","genus","108070","Homerian","","430.6","426.7","26230"
