"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Stromatoporellida"
"Access Time","Fri 2026-01-02 02:57:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Stromatoporellida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0182"
"Records Found","732"
"Records Returned","732"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"403203","occ","","","38681","? Trupetostroma cf. bassleri","genus","3454","species not entered","Trupetostroma","genus","3454","Givetian","","387.95","382.31","10391"
"403204","occ","","","38681","Hermatostroma cf. pustulosum","genus","3388","species not entered","Hermatostroma","genus","3388","Givetian","","387.95","382.31","10391"
"403211","occ","","","38684","Clathrocoilona inconstans","genus","3357","species not entered","Clathrocoilona","genus","3357","Givetian","","387.95","382.31","10391"
"403212","occ","","","38686","Clathrocoilona spissa","species","424907","recombined as","Clathrocoilona (Clathrocoilona) spissa","species","424906","Frasnian","","382.31","372.15","10391"
"403213","occ","","","38686","Idiostroma roemeri","genus","3391","species not entered","Idiostroma","genus","3391","Frasnian","","382.31","372.15","10391"
"403216","occ","","","38686","Clathrocoilona sp.","genus","3357","","Clathrocoilona","genus","3357","Frasnian","","382.31","372.15","10391"
"403220","occ","","","38686","Stictostroma saginatum","species","424913","","Stictostroma saginatum","species","424912","Frasnian","","382.31","372.15","10391"
"403223","occ","","","38688","Stictostroma saginatum","species","424913","","Stictostroma saginatum","species","424912","Frasnian","","382.31","372.15","10391"
"403225","occ","","","38689","Clathrocoilona spissa","species","424907","recombined as","Clathrocoilona (Clathrocoilona) spissa","species","424906","Frasnian","","382.31","372.15","10391"
"403229","occ","","","38689","Stictostroma saginatum","species","424913","","Stictostroma saginatum","species","424912","Frasnian","","382.31","372.15","10391"
