min_ma,max_ma,r_number,name,country,formation,system,series,intervall,time_slice,reliabilit,subsurface,type,thickness,m_thick,width,m_width,extension,m_ext,ext_belt
47.8,56,897,"Capilduy, Alava",Spain,,Paleogene,Eocene,Ilerdian,27,3,0,1,1,,,,2,,20
331,336,3646,"Catcraig, Scotland",United Kingdom,Middle Longcraig Limestone,Carboniferous,Mississippian,Brigantian,12,3,0,4,1,,,,,,
145,152.1,585,"Isle of Portland, England",United Kingdom,,Jurassic,Upper Jurassic,Tithonian,22,2,0,2,1,4,1,8,1,8,5
83.6,89.8,1961,Soria,Spain,,Cretaceous,Upper Cretaceous,Coniacian-Santonian,25,2,0,4,1,5,,,,,
445.2,450,2960,"Keisley, northern England",United Kingdom,,Ordovician,Upper Ordovician,upper Ashgillian,5,3,0,3,,,,,,,
340,341,3464,"Chipping Sodbury, Bristol, England",United Kingdom,Clifton Down Limestone,Carboniferous,Mississippian,upper Holkerian,12,3,1,4,1,1,1,,2,,
345,346.7,427,"Craven, Lancashire, Great Britain",United Kingdom,,Carboniferous,Mississippian,Chadian,11,3,0,3,3,,,,3,,20
100.5,113,4243,"Laga Beach, Ibarangelu",Spain,Unknown,Cretaceous,Lower Cretaceous,lower Albian,24,3,0,4,3,,,,,,
7.3,9,662,Purchena,Spain,,Neogene,Miocene,late Tortonian,32,3,0,1,2,,,,3,,2
336,340,3645,"Little Asby Scar, coral assemblage PB",United Kingdom,Potts Beck,Carboniferous,Mississippian,Asbian,12,3,0,4,1,2,1,,1,,
145,152.1,2917,Eastern Betic Cordillera,Spain,,Jurassic,Upper Jurassic,Tithonian,22,2,0,1,,,,,,,
100.5,113,1177,Albéniz,Spain,,Cretaceous,Lower Cretaceous,middle-upper Albian,24,3,0,1,3,,,,4,,30
427.4,433.4,1337,"Malvern, England",United Kingdom,,Silurian,Wenlock,upper Wenlock,7,3,0,2,2,,,,2,,
2.6,3.6,2470,"Rambla Quebrada, Almeria",Spain,,Neogene,Pliocene,Upper Pliocene,32,3,0,4,1,,,,4,,4
330.9,340,85,Béchar,Algeria,,Carboniferous,Mississippian,upper Visean,12,3,0,3,2,,,,3,,6
315.2,330.9,2564,Béchar,Algeria,Aouidja,Carboniferous,Mississippian,Serpukhovian-Bashkirian,12,3,0,3,1,,,,2,,
242,247.2,3612,"Sierra de la Joya, Lujar",Spain,,Triassic,Middle Triassic,Anisian,17,2,0,2,2,20,1,,2,,
315.2,323.2,3656,"Bechar Basin, Donezella banks",Algeria,Oued el Hamar,Carboniferous,Pennsylvanian,upper Bashkirian,13,3,0,4,1,,1,,1,,
307,315.2,3657,"Bechar Basin, Donezella banks",Algeria,Oued bel Groun Formation,Carboniferous,Pennsylvanian,Moscovian,13,2,0,4,1,,1,,1,,
427.4,430.5,4128,Herefordshire,United Kingdom,Unknown,Silurian,Wenlock,Homerian,7,1,0,1,,,,,,,
5.3,11.6,666,Níjar,Spain,,Neogene,Miocene,Tortonian-Messinian,32,2,0,1,2,30,,,4,,15
323.2,330.9,3654,"Bechar Basin, Tagnana Formation, Donezella banks",Algeria,Tagnana,Carboniferous,Mississippian,Serpukhovian,12,2,0,4,1,,1,,2,,
315.2,323.2,3655,"Bechar Basin, Donezella banks",Algeria,Hassi Kerma,Carboniferous,Pennsylvanian,lower Bashkirian,13,3,0,4,1,,1,,1,,
152.1,157.3,407,Sierra del Madero,Spain,,Jurassic,Upper Jurassic,lower Kimmeridgian,21,3,0,1,2,60,,,3,,100
7.3,9,698,"Cantoria and Los Marmoles, Almeria",Spain,,Neogene,Miocene,upper Tortonian,32,3,0,1,2,12,,,4,,5
5.3,7.3,1167,"Hueli, Sorbas Basin",Spain,,Neogene,Miocene,Messinian,32,3,0,2,2,40,,,3,400,
5.3,7.3,664,Cariatiz,Spain,,Neogene,Miocene,Messinian,32,3,0,1,2,,,,4,,40
56,59.2,697,"Legunbe complex, Pyrenees",Spain,unknown,Paleogene,Paleocene,early Thanetian,27,3,0,1,2,,,,4,,290
427.4,433.4,1335,"Dudley, England",United Kingdom,,Silurian,Wenlock,upper Wenlock,7,3,0,2,1,3,,,1,,3
59.2,61.6,4412,"Usabide complex, Pyrenees",Spain,unknown,Paleogene,Paleocene,Selandian,27,2,0,1,1,6,2,50,3,110,
323.2,330.9,4424,Coral biostrome,Algeria,Djenien Formation,Carboniferous,Mississippian,upper Serpukhovian,12,1,0,4,2,10,4,,4,,
336,340,428,"Stebden Hill, Cracoe, Great Britain",United Kingdom,,Carboniferous,Mississippian,Asbian,12,3,0,1,3,,,,4,,150
330.9,340,3178,"Staffordshire, England",United Kingdom,Waterhouses Limestone,Carboniferous,Mississippian,Asbian-Brigantian,12,2,0,1,2,,,,,,
345,346.7,3179,"Weaver Hills District, Staffordshire, England",United Kingdom,Weaver beds,Carboniferous,Mississippian,Chadian,11,2,0,1,2,,,,,,
182.7,199.3,348,Bou Arfa,Morocco,,Jurassic,Lower Jurassic,Sinemurian-Pliensbachian,19,2,0,1,2,,,,2,,100
61.6,66,696,"Biormaiza and Lizarraga, Pyrenees",Spain,,Paleogene,Paleocene,upper Danian,27,3,0,1,2,70,2,,3,,10
61.6,66,728,"Biormaiza-2, Pyrenees",Spain,,Paleogene,Paleocene,lower Danian,27,3,0,1,1,10,1,,1,,
5.3,11.6,3584,"Betone Ech Chems Reef, Oujda",Morocco,,Neogene,Miocene,Tortonian-Messinian,32,2,0,1,1,,1,,1,,
89.8,93.9,2603,"Chateauneuf, Charentes",France,,Cretaceous,Upper Cretaceous,Turonian,25,2,0,1,1,,,,,,
182.7,190.8,572,Zarcilla de Ramos,Spain,,Jurassic,Lower Jurassic,lower Pliensbachian,19,2,0,4,1,,,,3,,
182.7,190.8,595,"Zarcilla de Ramos, Murcia",Spain,,Jurassic,Lower Jurassic,lower Pliensbachian,19,3,0,4,1,1,1,,2,,
6,7.3,665,Mesa de Roldán,Spain,unknown,Neogene,Miocene,lower Messinian,32,3,0,1,1,,,,2,,20
5.3,6,4381,Mesa de Roldán + La Molata de las Negras,Spain,unknown,Neogene,Miocene,upper Messinian,32,3,0,1,2,,2,,,,
345,346.7,431,"Caldon Low, Derbyshire, Great Britain",United Kingdom,,Carboniferous,Mississippian,Chadian,11,3,0,3,3,,,,4,,10
157.3,163.5,455,"Steeple Ashton, England",United Kingdom,,Jurassic,Upper Jurassic,upper Oxfordian,21,3,0,4,1,,,,2,,40
407.6,410.8,1557,"Baubigny, Manche",France,Nehou,Devonian,Lower Devonian,upper Pragian,9,2,0,2,2,20,,,2,,
166.1,168.3,457,"Fairford, England",United Kingdom,,Jurassic,Middle Jurassic,Bathonian,20,2,0,1,1,,,,2,,
331,336,4409,"Ricklow Quarry, Monyash, Derbyshire",United Kingdom,Monsal Dale,Carboniferous,Mississippian,Brigantian,12,3,0,3,2,28,3,100,3,250,20
330.9,340,272,"Derbyshire II, Great Britain",United Kingdom,,Carboniferous,Mississippian,Asbian-Brigantian,12,3,0,3,1,,,,3,,31
