"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Amphiporida"
"Access Time","Fri 2026-01-02 02:55:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Amphiporida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0103"
"Records Found","461"
"Records Returned","461"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"410449","occ","","","39640","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"410450","occ","","","39640","Amphipora tschussovensis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"410463","occ","","","39641","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"410464","occ","","","39641","Amphipora tschussovensis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"410652","occ","","","39661","Amphipora tschussovensis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"410661","occ","","","39663","Amphipora tschussovensis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"413616","occ","","","40012","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Eifelian","Givetian","393.47","382.31","10816"
"413627","occ","","","40013","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","10816"
"451074","occ","","","44257","Amphipora ramosa","species","440592","","Amphipora ramosa","species","440591","Givetian","","387.95","382.31","11566"
"459896","occ","","","45302","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Late Frasnian","","375.2","372.15","11786"
"459923","occ","","","45304","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","11787"
"459953","occ","","","45306","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Emsian","","410.62","393.47","11789"
"463566","occ","","","45790","Amphipora aff. alaiskensis","genus","3346","species not entered","Amphipora","genus","3346","Pragian","","413.02","410.62","12132"
"463567","occ","","","45790","Amphipora aff. messerschmidti","genus","3346","species not entered","Amphipora","genus","3346","Pragian","","413.02","410.62","12132"
"463646","occ","","","45793","Amphipora intexta","genus","3346","species not entered","Amphipora","genus","3346","Late Emsian","","399.5","393.47","12132"
"463647","occ","","","45793","Amphipora ex gr. ramosa","species","440592","","Amphipora ramosa","species","440591","Late Emsian","","399.5","393.47","12132"
"463984","occ","","","45825","? Clathrodictyella ex gr. pulchra","genus","3358","species not entered","Clathrodictyella","genus","3358","Late Emsian","","399.5","393.47","12132"
"463985","occ","","","45825","Paramphipora ex gr. turkestanica","genus","115695","species not entered","Paramphipora","genus","115695","Late Emsian","","399.5","393.47","12132"
"463986","occ","","","45825","Amphipora aff. karmakensis","genus","3346","species not entered","Amphipora","genus","3346","Late Emsian","","399.5","393.47","12132"
"463987","occ","","","45825","Amphipora aff. alaiskensis","genus","3346","species not entered","Amphipora","genus","3346","Late Emsian","","399.5","393.47","12132"
"463988","occ","","","45825","Amphipora spissa","genus","3346","species not entered","Amphipora","genus","3346","Late Emsian","","399.5","393.47","12132"
"463989","occ","","","45825","Paramphipora aff. dilucida","genus","115695","species not entered","Paramphipora","genus","115695","Late Emsian","","399.5","393.47","12132"
"463990","occ","","","45825","Paramphipora ex gr. rasilis","genus","115695","species not entered","Paramphipora","genus","115695","Late Emsian","","399.5","393.47","12132"
"464242","occ","","","45839","Amphipora ex gr. socialis","genus","3346","species not entered","Amphipora","genus","3346","Pridoli","Lochkovian","422.7","413.02","12132"
"464244","occ","","","45839","Paramphipora dilucida","genus","115695","species not entered","Paramphipora","genus","115695","Pridoli","Lochkovian","422.7","413.02","12132"
"464245","occ","","","45839","Paramphipora ex gr. humilis","genus","115695","species not entered","Paramphipora","genus","115695","Pridoli","Lochkovian","422.7","413.02","12132"
"465311","occ","","","46027","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Emsian","","410.62","393.47","12269"
"572851","occ","","","60152","Amphipora ex gr. laxeperforata","genus","3346","species not entered","Amphipora","genus","3346","Early Givetian","","387.95","385.9","17286"
"573356","occ","","","60245","Stellopora simples","genus","121178","species not entered","Stellopora","genus","121178","Sheinwoodian","Homerian","432.9","426.7","17337"
"573518","occ","","","60287","Stellopora vasta","genus","121178","species not entered","Stellopora","genus","121178","Ludfordian","","425","422.7","17337"
"573519","occ","","","60287","Clathrodictyella turkestanica","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludfordian","","425","422.7","17337"
"573520","occ","","","60287","Clathrodictyella magna","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludfordian","","425","422.7","17337"
"573521","occ","","","60287","Clathrodictyella issensis","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludfordian","","425","422.7","17337"
"573522","occ","","","60287","Clathrodictyella crassa","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludfordian","","425","422.7","17337"
"573523","occ","","","60287","Clathrodictyella contorta","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludfordian","","425","422.7","17337"
"573524","occ","","","60287","Clathrodictyella retroata","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludfordian","","425","422.7","17337"
"589209","occ","","","62168","Amphipora aff. ramosa","species","440592","","Amphipora ramosa","species","440591","Eifelian","","393.47","387.95","17955"
"589225","occ","","","62171","Amphipora aff. ramosa","species","440592","","Amphipora ramosa","species","440591","Eifelian","","393.47","387.95","17955"
"589231","occ","","","62172","Amphipora aff. ramosa","species","440592","","Amphipora ramosa","species","440591","Eifelian","","393.47","387.95","17955"
"621693","occ","","","66955","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Eifelian","","393.47","387.95","19072"
"663219","occ","","","71424","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","24144"
"663224","occ","","","71423","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","24144"
"698419","occ","","","75031","cf. Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","25300"
"699364","occ","","","75084","Amphipora cf. raris","genus","3346","species not entered","Amphipora","genus","3346","Pragian","","413.02","410.62","25347"
"699365","occ","","","75084","Amphipora cf. raritalis","genus","3346","species not entered","Amphipora","genus","3346","Pragian","","413.02","410.62","25347"
"704052","occ","","","75570","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","25512"
"705559","occ","","","75720","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","25571"
"705879","occ","","","75747","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","25600"
"706128","occ","","","75763","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","25611"
"707752","occ","","","75860","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","25627"
"707829","occ","","","75908","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","25680"
"710813","occ","","","76086","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","25789"
"712428","occ","","","76448","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","25864"
"715151","occ","","","76631","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Middle Frasnian","","379","375.2","25902"
"716313","occ","","","76884","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","25864"
"716983","occ","","","28047","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Late Givetian","Early Frasnian","383.4","379","26037"
"717611","occ","","","77050","Amphipora ramosa","species","440592","","Amphipora ramosa","species","440591","Eifelian","","393.47","387.95","26037"
"717935","occ","","","77075","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","26037"
"717937","occ","","","77075","Amphipora ramosa","species","440592","","Amphipora ramosa","species","440591","Givetian","","387.95","382.31","26037"
"724010","occ","","","77743","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","26258"
"724016","occ","","","77744","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","26258"
"724354","occ","","","77788","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","Frasnian","387.95","372.15","26272"
"725367","occ","","","77916","Amphipora ninglangensis n. sp.","species","115696","","Amphipora ninglangensis","species","115696","Emsian","Eifelian","410.62","387.95","26299"
"725368","occ","","","77916","Paramphipora raritatis","genus","115695","species not entered","Paramphipora","genus","115695","Emsian","Eifelian","410.62","387.95","26299"
"725369","occ","","","77916","Paramphipora cf. vesiculosa","genus","115695","species not entered","Paramphipora","genus","115695","Emsian","Eifelian","410.62","387.95","26299"
"725370","occ","","","77916","Paramphipora mangkamensis","genus","115695","species not entered","Paramphipora","genus","115695","Emsian","Eifelian","410.62","387.95","26299"
"725377","occ","","","77917","Paramphipora blokhini","genus","115695","species not entered","Paramphipora","genus","115695","Givetian","Frasnian","387.95","372.15","26299"
"725378","occ","","","77917","Paramphipora guilinensis","genus","115695","species not entered","Paramphipora","genus","115695","Givetian","Frasnian","387.95","372.15","26299"
"730484","occ","","","78493","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Eifelian","","393.47","387.95","26393"
"735610","occ","","","78972","Amphipora ex gr. socialis","genus","3346","species not entered","Amphipora","genus","3346","Ludfordian","","425","422.7","26528"
"735611","occ","","","78972","Paramphipora sp.","genus","115695","","Paramphipora","genus","115695","Ludfordian","","425","422.7","26528"
"735633","occ","","","78973","Paramphipora sp.","genus","115695","","Paramphipora","genus","115695","Lochkovian","Pragian","419.62","410.62","26528"
"735764","occ","","","78984","Paramphipora sp.","genus","115695","","Paramphipora","genus","115695","Emsian","","410.62","393.47","26528"
"735787","occ","","","78985","Amphipora ex gr. ramosa","species","440592","","Amphipora ramosa","species","440591","Eifelian","","393.47","387.95","26528"
"735788","occ","","","78985","Amphipora intexta","genus","3346","species not entered","Amphipora","genus","3346","Eifelian","","393.47","387.95","26528"
"735789","occ","","","78985","Paramphipora sp.","genus","115695","","Paramphipora","genus","115695","Eifelian","","393.47","387.95","26528"
"735791","occ","","","78986","Paramphipora sp.","genus","115695","","Paramphipora","genus","115695","Givetian","","387.95","382.31","26528"
